track_id,track_name,popularity,duration_ms,explicit,album_name,album_release_date,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_names
78TkTY7bMQIbg6dp4RoCJx,Forever Not Yours,26,246360,False,Forever Not Yours,2002-04-22,single,0.555,0.81,7,-6.948,0,0.0317,0.00831,0.000188,0.0775,0.703,87.721,4,a-ha
5dL5jv5GSCRoDhTtnY8maL,Mesmerize,60,278693,True,The Last Temptation,2002-01-01,album,0.769,0.646,1,-6.653,1,0.199,0.0566,0.0,0.406,0.433,90.079,4,"Ja Rule, Ashanti"
0EGU2LFVIfjvvWFVmklNzR,Song for the Lonely,37,202600,False,Living Proof,2001-11-19,album,0.548,0.915,0,-7.01,1,0.0556,0.00528,0.0,0.186,0.38,129.972,4,Cher
59FYUvlodY7NCZGHk7yJt1,Escape,0,208626,False,Escape,2001,album,0.775,0.855,11,-5.323,1,0.0301,0.0302,0.000406,0.125,0.879,125.981,4,Enrique Iglesias
6Ss1QOGzn0iG8hrRRSGrr9,It Just Won't Do - Radio Edit,60,198000,False,It Just Won't Do,2011-11-28,single,0.678,0.936,5,-4.876,0,0.0373,0.00166,0.457,0.376,0.877,129.996,4,"Tim Deluxe, Sam Obernik"
0UzsDmdpw0Q14KU4hieQss,Fill Me In,57,257200,False,Born to Do It,2000-08-14,album,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,4,Craig David
13lumrL4b1cw4htq7R2uKV,Indigo Girl,38,180546,False,In The Meantime,2003-01-01,album,0.548,0.449,3,-11.667,1,0.029,0.756,0.00078,0.13,0.529,114.458,4,Watershed
5y69gQtK33qxb8a24ACkCy,A Thousand Miles,0,237493,False,Be Not Nobody,2002-04-30,album,0.559,0.845,11,-3.871,1,0.0379,0.222,0.0,0.164,0.304,94.915,4,Vanessa Carlton
6GGGUEzZGwdAymUUV5SAF0,We Are Alive,34,186293,False,"Trance Top 1000 Selection, Vol. 6",2015-03-06,compilation,0.623,0.901,6,-6.054,1,0.032,0.0135,0.024,0.369,0.33,134.691,4,Paul van Dyk
5gDzYP14jAqWR4ckuFTVBu,36Grad,0,230466,False,36Grad,2007-02-02,album,0.671,0.706,2,-6.58,0,0.0298,0.112,0.0,0.261,0.672,125.997,4,2raumwohnung
6Y7AJJQq4KKjX753NHA10m,Just a Friend 2002 - Radio Edit,30,214200,False,Mario,2002-01-01,album,0.538,0.677,0,-6.099,1,0.187,0.00541,0.0,0.236,0.913,132.346,5,Mario
1NRl73336Q4SFLH2DqurzS,Northern Star,39,281240,False,Northern Star,1999,album,0.544,0.703,5,-6.423,1,0.025,0.0199,0.0,0.205,0.325,100.99,4,Melanie C
2tP7ZekzXfduShx8C6cbll,I'm Like A Bird,0,243160,False,"Whoa, Nelly!",2000,album,0.622,0.608,10,-5.085,1,0.036,0.138,5.38e-06,0.273,0.607,89.661,4,Nelly Furtado
1Rcv4ZShoftlDh5dZ3JUVf,If I Ever Feel Better,43,222826,False,If I Ever Feel Better,2000,single,0.775,0.51,6,-9.53,0,0.147,0.083,0.00163,0.108,0.812,119.707,4,Phoenix
0q7z99dIbw37rabJtGBZt5,Work It,40,262560,True,Nellyville,2002-06-25,album,0.827,0.648,4,-6.922,1,0.158,0.00826,0.0,0.254,0.733,91.852,4,"Nelly, Justin Timberlake"
2ZqTtndqAZDRAWw2vgZwQK,But It's Better If You Do,57,205752,False,A Fever You Can't Sweat Out,2005-09-27,album,0.467,0.848,9,-3.063,0,0.0716,0.0617,0.0,0.29,0.674,170.038,4,Panic! At The Disco
578P9rI0pYBTHBRdQE4U3W,Everything Is Everything,12,178613,False,everything is everything,2004-07-09,single,0.699,0.814,6,-7.628,1,0.0339,0.0298,0.0172,0.104,0.964,109.071,4,Phoenix
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,81,269000,False,By the Way (Deluxe Edition),2002-07-09,album,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,4,Red Hot Chili Peppers
03N0ZpS5QaC9ga9i2xO9Vp,Satellites,49,195973,False,In Orbit,2005-07-02,album,0.701,0.715,11,-13.518,1,0.0528,0.267,0.0,0.0452,0.791,129.031,4,September
1f2V8U1BiWaC9aJWmpOARe,By the Way,75,216933,False,By the Way (Deluxe Edition),2002-07-09,album,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,4,Red Hot Chili Peppers
7jqzZyJJLrpkRFYGpkqSK6,Breathe Me,64,272800,False,Colour The Small One,2004-01-01,album,0.552,0.643,0,-7.36,1,0.0327,0.0364,0.74,0.105,0.212,120.012,4,Sia
1TIkbZd79CrErP2cfpQs4c,Choose To Be Me,33,250840,False,On The Way To Wonderland.,2006,album,0.461,0.921,8,-5.125,0,0.0844,0.00176,3.53e-06,0.335,0.65,178.024,4,Sunrise Avenue
7ImkjvM1OKWhJ5HIPOHcHE,Walking with a Ghost,53,150293,False,So Jealous,2004-09-14,album,0.788,0.541,6,-5.987,0,0.0387,0.125,0.000231,0.0679,0.928,118.058,4,Tegan and Sara
7DUTJWyjzGQrx9awI2SqZn,If I Can't Dance,0,203826,False,Trip The Light Fantastic,2007-01-01,album,0.755,0.855,11,-4.311,0,0.0446,0.00134,0.000315,0.331,0.961,124.988,4,Sophie Ellis-Bextor
3ncFFKyZYIfiWNaOqvSUKz,Light My Fire,38,209826,False,From Now On,2002-10-07,album,0.77,0.796,6,-7.333,1,0.0316,0.226,1.67e-06,0.139,0.846,106.899,4,Will Young
0VhpytUfV6UKO65QOHqO2X,Alles kann besser werden,0,270672,False,Alles kann besser werden,2009-10-09,album,0.566,0.655,0,-8.012,1,0.046,0.047,0.0,0.159,0.193,145.973,4,"Xavier Naidoo, Janet Grogan"
4zQuwW24dweWcaX0fEJkP2,You Know I'm No Good,63,256946,False,Back To Black,2006-10-27,album,0.705,0.806,9,-3.607,1,0.0309,0.0132,0.00428,0.0701,0.734,103.383,4,Amy Winehouse
1PpfeNl5uYRBhfFcig2Uz6,19-2000 - Soulchild Remix,53,209386,False,Gorillaz,2001-03-26,album,0.673,0.897,0,-3.986,1,0.0512,0.194,0.0,0.299,0.892,102.045,4,Gorillaz
2QsZVnbWVSjKMXK6K3uRBL,U Remind Me,69,266893,False,8701,2001-08-07,album,0.657,0.629,6,-4.938,1,0.0782,0.194,0.0,0.254,0.726,93.985,4,USHER
7rSj5gEdN5KgHwbnEVAZ4b,#1,50,198760,True,Nellyville,2002-06-25,album,0.69,0.589,7,-5.979,1,0.304,0.0237,0.0,0.56,0.461,179.98,4,Nelly
1uVfUdVv0h9MWia3tdZo5G,Baby Boy (feat. Beyoncé ),0,246706,False,Dutty Rock,2002-11-12,album,0.658,0.621,1,-5.725,1,0.231,0.0667,2.46e-06,0.142,0.817,91.267,4,"Sean Paul, Beyoncé"
0dQnPZmWdCfwv0EFnKBgg7,Bounce,0,244306,True,Shock Value Deluxe Version (International Version),2007-01-01,album,0.646,0.775,8,-3.695,1,0.178,0.586,0.000342,0.156,0.516,132.43,4,"Timbaland, Missy Elliott, Justin Timberlake, Dr. Dre"
1FLzTxrNNgqrAEsQvHJ9Gx,Fuck Me Pumps,63,200600,True,Frank (Deluxe Edition),2003,album,0.89,0.48,7,-6.914,1,0.104,0.0718,0.0,0.11,0.651,102.999,4,Amy Winehouse
